Allele	Reported	Mismatch	Chain
TRBV4-1*01_S8667	TRBV4-1*01	4	TCR
TRBV4-2*01_S1299	TRBV4-2*01	1	TCR
TRBV4-2*01_S2222	TRBV4-2*01	8	TCR
TRBV4-2*01_S3004	TRBV4-2*01	4	TCR
TRBV4-3*01_S0536	TRBV4-3*01	2	TCR
TRBV4-3*01_S0723	TRBV4-3*01	4	TCR
TRBV4-3*01_S5021	TRBV4-3*01	6	TCR
TRBV4-3*01_S6243	TRBV4-3*01	4	TCR
TRBV5-1*01_S0851	TRBV5-1*01	5	TCR
TRBV5-1*01_S3225	TRBV5-1*01	2	TCR
TRBV5-10*01_S0223	TRBV5-10*01	11	TCR
TRBV5-10*01_S5154	TRBV5-10*01	2	TCR
TRBV5-10*01_S6437	TRBV5-10*01	12	TCR
TRBV5-10*01_S7068	TRBV5-10*01	7	TCR
TRBV5-10*01_S9847	TRBV5-10*01	11	TCR
TRBV5-3*01_S0627	TRBV5-3*01	4	TCR
TRBV5-3*01_S1591	TRBV5-3*01	3	TCR
TRBV5-3*01_S1862	TRBV5-3*01	1	TCR
TRBV5-3*01_S2650	TRBV5-3*01	3	TCR
TRBV5-4*01_S1160	TRBV5-4*01	6	TCR
TRBV5-4*01_S3813	TRBV5-4*01	1	TCR
TRBV5-4*01_S5270	TRBV5-4*01	1	TCR
TRBV5-5*01_S3559	TRBV5-5*01	3	TCR
TRBV5-5*01_S3821	TRBV5-5*01	4	TCR
TRBV5-5*01_S4614	TRBV5-5*01	3	TCR
TRBV5-7*01_S2533	TRBV5-7*01	4	TCR
TRBV5-7*01_S3504	TRBV5-7*01	3	TCR
TRBV5-7*01_S4212	TRBV5-7*01	7	TCR
TRBV5-7*01_S4801	TRBV5-7*01	3	TCR
TRBV5-8*01_S2717	TRBV5-8*01	8	TCR
TRBV5-8*01_S5942	TRBV5-8*01	7	TCR
TRBV5-8*01_S5956	TRBV5-8*01	9	TCR
TRBV5-9*01_S1214	TRBV5-9*01	10	TCR
TRBV5-9*01_S5590	TRBV5-9*01	14	TCR
TRBV5-9*01_S7382	TRBV5-9*01	11	TCR
TRBV5-9*01_S9602	TRBV5-9*01	5	TCR
TRBV5-9*01_S9760	TRBV5-9*01	14	TCR
TRBV6-1*01_S2739	TRBV6-1*01	7	TCR
TRBV6-1*01_S7570	TRBV6-1*01	4	TCR
TRBV6-1*01_S8496	TRBV6-1*01	2	TCR
TRBV6-2*01_S1712	TRBV6-2*01	10	TCR
TRBV6-2*01_S3921	TRBV6-2*01	10	TCR
TRBV6-2*01_S4520	TRBV6-2*01	3	TCR
TRBV6-2*01_S4987	TRBV6-2*01	4	TCR
TRBV6-2*01_S7842	TRBV6-2*01	3	TCR
TRBV6-3*01_S3995	TRBV6-3*01	4	TCR
TRBV6-3*01_S5536	TRBV6-3*01	5	TCR
TRBV6-3*01_S7411	TRBV6-3*01	5	TCR
TRBV6-6*01_S3405	TRBV6-6*01	5	TCR
TRBV6-6*01_S9028	TRBV6-6*01	6	TCR
TRBV6-8*01_S1467	TRBV6-8*01	2	TCR
TRBV6-8*01_S3989	TRBV6-8*01	6	TCR
TRBV6-8*01_S7213	TRBV6-8*01	8	TCR
TRBV6-8*01_S7731	TRBV6-8*01	3	TCR
TRBV7-10*01_S7850	TRBV7-10*01	1	TCR
TRBV7-10*01_S9937	TRBV7-10*01	3	TCR
TRBV7-3*01_S0236	TRBV7-3*01	1	TCR
TRBV7-3*01_S2014	TRBV7-3*01	3	TCR
TRBV7-3*01_S8214	TRBV7-3*01	2	TCR
TRBV7-4*01_S3557	TRBV7-4*01	1	TCR
TRBV7-4*01_S7997	TRBV7-4*01	3	TCR
TRBV7-5*01_S3519	TRBV7-5*01	2	TCR
TRBV7-5*01_S7224	TRBV7-5*01	3	TCR
TRBV7-6*01_S1682	TRBV7-6*01	3	TCR
TRBV7-6*01_S5496	TRBV7-6*01	6	TCR
TRBV7-6*01_S6864	TRBV7-6*01	5	TCR
TRBV7-6*01_S8721	TRBV7-6*01	2	TCR
TRBV7-7*01_S4428	TRBV7-7*01	3	TCR
TRBV7-7*01_S6941	TRBV7-7*01	3	TCR
TRBV7-7*01_S7416	TRBV7-7*01	1	TCR
TRBV7-7-1*01_S1731	TRBV7-7-1*01	3	TCR
TRBV7-7-1*01_S1990	TRBV7-7-1*01	3	TCR
TRBV7-7-1*01_S9536	TRBV7-7-1*01	5	TCR
TRBV7-9*01_S0818	TRBV7-9*01	2	TCR
TRBV7-9*01_S2006	TRBV7-9*01	2	TCR
TRBV9*01_S0972	TRBV9*01	2	TCR
TRBV9*01_S4977	TRBV9*01	1	TCR
